Keyword,Conservative,Analytical,Caution,Adventurous,Impulsive,Convenience
Organized,1,0.8,0.8,0.7,0,0.6
Disciplined,0.9,0.7,1,0,0,0.7
Goal-Oriented,0.8,0.9,0.8,0.1,0,0.6
Careful,0.9,0.9,1,0,0,0.6
Practical,0.8,0.7,0.9,0.1,0,0.9
Strategic,0.7,1,0.8,0,0,0.5
Referral,0.5,0.6,0.5,0,0,0.7
Committed,0.9,0.8,0.8,0,0,0.6
Engaged,0.8,0.7,0.7,0.1,0,0.7
Supportive,0.7,0.7,0.8,0,0,0.7
Transparent,0.8,0.7,0.7,0,0,0.7
Trustworthy,0.9,0.8,0.8,0.3,0.3,0.6
Controllable,0.8,0.7,0.9,0,0,0.7
Caution,0.8,0.7,0.9,0,0,0.6
Timely,0.7,0.6,0.8,0.4,0,0.9
Analytical,0.7,1,0.8,0,0,0.5
Accurate,0.8,0.9,1,0,0,0.5
Insightful,0.7,1,0.8,0.5,0,0.5
Patient,0.9,0.8,0.9,0,0,0.6
Consistent,0.9,0.7,0.9,0,0,0.7
Risk-taker,0,0.5,0.3,0.9,1,0.7
Long-term,1,0.9,0.9,0,0,0.6
Stable,1,0.7,0.8,0,0,0.6
Secure,1,0.8,0.9,0,0,0.6
Predictable,0.9,0.8,0.8,0,0,0.6
Impulsive,0,0,0,0.9,1,0.3
Flexible,0.3,0.4,0.5,0.5,0.7,1
Convenient,0.6,0.5,0.5,0,0.5,1
Immediate,0.5,0.5,0.5,0.5,0.9,1
Responsive,0.5,0.5,0.5,0.5,0.5,1
Self-reliant,0.7,0.8,0.7,0.5,0.5,0.9
Responsible,0.8,0.7,0.8,0,0,0.6
Mid-profit,0.6,0.7,0.6,0.8,0.5,0.5
Opportunistic,0.5,0.7,0.5,0.9,0.7,0.5
Ambitious,0.5,0.8,0.6,0.9,0.9,0.5
Adventurous,0.2,0.7,0.3,1,0.8,0.5
Optimistic,0.6,0.7,0.5,0.7,0.5,0.6
Reliable,0.9,0.7,0.8,0,0,0.7
Thoughtful,0.6,0.8,0.7,0,0,0.3
Protective,0.9,0.7,0.9,0,0,0.6
Collaborative,0.7,0.7,0.7,0.3,0.3,0.7
Social,0.5,0.6,0.5,0.6,0,0.8
Generous,0.6,0.7,0.5,0.6,0.5,0.7
Personal,0.6,0.7,0.7,0,0,0.6
Appreciative,0.7,0.7,0.8,0,0,0.6
